date,commodity,unit,min_price_npr,max_price_npr,avg_price_npr
2026-04-25,अदुवा,के.जी.,80.0,100.0,90.0
2026-04-25,आलु रातो(भारतीय),के जी,23.0,25.0,24.0
2026-04-25,आलु रातो(लाम्चो),के.जी.,20.0,25.0,22.5
2026-04-25,इमली,के.जी.,170.0,180.0,175.0
2026-04-25,काउली स्थानिय,के.जी.,30.0,40.0,35.0
2026-04-25,काक्रो(लोकल),के.जी.,30.0,50.0,40.0
2026-04-25,काक्रो(लोकलक्रस),के.जी.,50.0,60.0,55.0
2026-04-25,काक्रो(हाइब्रीड),के जी,20.0,30.0,25.0
2026-04-25,किवि,केजी,400.0,450.0,425.0
2026-04-25,कुरीलो,के.जी.,350.0,450.0,400.0
2026-04-25,कोइरालो,के.जी.,250.0,300.0,275.0
2026-04-25,खुर्सानी हरियो(अकबरे),के जी,400.0,500.0,450.0
2026-04-25,खुर्सानी हरियो(बुलेट),के जी,50.0,70.0,60.0
2026-04-25,खुर्सानी हरियो(माछे),के जी,70.0,80.0,75.0
2026-04-25,खुर्सानी हरियो(लाम्चो),के जी,80.0,100.0,90.0
2026-04-25,खु्र्सानी सुकेको,के.जी.,400.0,450.0,425.0
2026-04-25,गाजर(तराई),केजी,20.0,30.0,25.0
2026-04-25,गाजर(लोकल),के.जी.,45.0,55.0,50.0
2026-04-25,गान्टे मूला,के.जी.,40.0,50.0,45.0
2026-04-25,गुन्दुक,के.जी.,220.0,250.0,235.0
2026-04-25,गोलभेडा ठूलो(भारतीय),केजी,75.0,80.0,77.5
2026-04-25,गोलभेडा सानो(तराई),के जी,50.0,60.0,55.0
2026-04-25,गोलभेडा सानो(भारतीय),के जी,45.0,55.0,50.0
2026-04-25,गोलभेडा सानो(लोकल),के.जी.,45.0,52.0,48.5
2026-04-25,ग्याठ कोबी,के.जी.,40.0,50.0,45.0
2026-04-25,घिउ सिमी(राजमा),केजी,100.0,110.0,105.0
2026-04-25,घिउ सिमी(लोकल),के.जी.,10.0,30.0,23.75
2026-04-25,घिउ सिमी(हाइब्रीड),केजी,25.0,35.0,30.0
2026-04-25,घिरौला,के.जी.,30.0,40.0,35.0
2026-04-25,चमसूरको साग,के.जी.,70.0,80.0,75.0
2026-04-25,चिचिण्डो,के.जी.,40.0,50.0,45.0
2026-04-25,चुकुन्दर,के.जी.,40.0,50.0,45.0
2026-04-25,च्याउ(कन्य),के.जी.,220.0,250.0,235.0
2026-04-25,च्याउ(डल्ले),के जी,350.0,400.0,375.0
2026-04-25,छ्यापी सुकेको,के.जी.,100.0,120.0,110.0
2026-04-25,छ्यापी हरियो,के.जी.,80.0,90.0,85.0
2026-04-25,जिरीको साग,के.जी.,70.0,80.0,75.0
2026-04-25,टाटे सिमी,के.जी.,120.0,130.0,125.0
2026-04-25,तामा,के.जी.,130.0,150.0,140.0
2026-04-25,तितो करेला,के.जी.,50.0,70.0,60.0
2026-04-25,तोफु,के.जी.,130.0,150.0,140.0
2026-04-25,तोरीको साग,के.जी.,30.0,40.0,35.0
2026-04-25,नासपाती(चाइनिज),केजी,230.0,250.0,240.0
2026-04-25,न्यूरो,के.जी.,70.0,80.0,75.0
2026-04-25,परवर(तराई),केजी,70.0,80.0,75.0
2026-04-25,परवर(लोकल),के.जी.,70.0,80.0,75.0
2026-04-25,पार्सले,के.जी.,170.0,190.0,180.0
2026-04-25,पालूगो साग,के.जी.,90.0,100.0,95.0
2026-04-25,पिंडालू,के.जी.,40.0,50.0,45.0
2026-04-25,पुदीना,के.जी.,90.0,100.0,95.0
2026-04-25,प्याज सुकेको (भारतीय),के.जी.,33.0,36.0,34.5
2026-04-25,प्याज हरियो,के.जी.,50.0,70.0,60.0
2026-04-25,फर्सी पाकेको,के.जी.,55.0,60.0,57.5
2026-04-25,फर्सी हरियो(लाम्चो),के.जी.,15.0,25.0,20.0
2026-04-25,बकूला,के.जी.,40.0,60.0,50.0
2026-04-25,बन्दा(तराई),केजी,30.0,35.0,32.5
2026-04-25,बन्दा(लोकल),के.जी.,40.0,50.0,45.0
2026-04-25,बरेला,के.जी.,55.0,65.0,60.0
2026-04-25,बोडी(तने),के.जी.,30.0,50.0,38.75
2026-04-25,ब्रोकाउली,के.जी.,50.0,60.0,55.0
2026-04-25,भटमासकोशा,के.जी.,120.0,160.0,140.0
2026-04-25,भन्टा डल्लो,के.जी.,50.0,60.0,55.0
2026-04-25,भन्टा लाम्चो,के.जी.,40.0,50.0,45.0
2026-04-25,भिण्डी,के.जी.,60.0,80.0,70.0
2026-04-25,भेडे खु्र्सानी,के.जी.,90.0,100.0,95.0
2026-04-25,मटरकोशा,के.जी.,60.0,70.0,65.0
2026-04-25,मेथीको साग,के.जी.,70.0,80.0,75.0
2026-04-25,राजा च्याउ,के.जी.,280.0,300.0,290.0
2026-04-25,रातो बन्दा,के.जी.,40.0,50.0,45.0
2026-04-25,रायो साग,के.जी.,30.0,60.0,42.5
2026-04-25,लसुन सुकेको चाइनिज,के.जी.,190.0,200.0,195.0
2026-04-25,लसुन सुकेको नेपाली,के.जी.,100.0,130.0,115.0
2026-04-25,लसुन हरियो,के.जी.,180.0,200.0,190.0
2026-04-25,लौका,के.जी.,10.0,20.0,15.0
2026-04-25,सखरखण्ड,के.जी.,60.0,70.0,65.0
2026-04-25,सिताके च्याउ,के.जी.,800.0,1000.0,900.0
2026-04-25,सेतो मूला(हाइब्रीड),केजी,20.0,30.0,25.0
2026-04-25,सेलरी,के.जी.,160.0,180.0,170.0
2026-04-25,सौफको साग,के.जी.,70.0,80.0,75.0
2026-04-25,स्कूस,के.जी.,50.0,60.0,55.0
2026-04-25,स्थानीय काउली(ज्यापु),केजी,35.0,45.0,40.0
2026-04-25,हरियो धनिया,के.जी.,50.0,80.0,65.0
2026-04-25,हरियो फर्सी(डल्लो),केजी,20.0,30.0,23.75
2026-04-26,अदुवा,के.जी.,80.0,100.0,90.0
2026-04-26,आलु रातो(भारतीय),के जी,22.0,24.0,23.0
2026-04-26,आलु रातो(लाम्चो),के.जी.,20.0,25.0,22.5
2026-04-26,इमली,के.जी.,170.0,180.0,175.0
2026-04-26,काउली स्थानिय,के.जी.,20.0,30.0,24.17
2026-04-26,काक्रो(लोकल),के.जी.,40.0,50.0,43.33
2026-04-26,काक्रो(लोकलक्रस),के.जी.,50.0,60.0,55.0
2026-04-26,काक्रो(हाइब्रीड),के जी,20.0,25.0,21.67
2026-04-26,किवि,केजी,400.0,450.0,425.0
2026-04-26,कुरीलो,के.जी.,400.0,500.0,450.0
2026-04-26,कोइरालो,के.जी.,250.0,300.0,275.0
2026-04-26,खुर्सानी हरियो(अकबरे),के जी,400.0,500.0,450.0
2026-04-26,खुर्सानी हरियो(बुलेट),के जी,50.0,60.0,55.0
2026-04-26,खुर्सानी हरियो(माछे),के जी,50.0,60.0,55.0
2026-04-26,खुर्सानी हरियो(लाम्चो),के जी,70.0,80.0,75.0
2026-04-26,खु्र्सानी सुकेको,के.जी.,400.0,450.0,425.0
2026-04-26,गाजर(तराई),केजी,16.0,30.0,23.0
2026-04-26,गाजर(लोकल),के.जी.,40.0,60.0,50.0
2026-04-26,गान्टे मूला,के.जी.,40.0,50.0,45.0
2026-04-26,गुन्दुक,के.जी.,250.0,280.0,265.0
2026-04-26,गोलभेडा ठूलो(भारतीय),केजी,90.0,100.0,95.0
2026-04-26,गोलभेडा सानो(तराई),के जी,50.0,60.0,55.0
2026-04-26,गोलभेडा सानो(भारतीय),के जी,50.0,60.0,56.25
2026-04-26,गोलभेडा सानो(लोकल),के.जी.,55.0,65.0,59.0
2026-04-26,ग्याठ कोबी,के.जी.,40.0,50.0,45.0
2026-04-26,घिउ सिमी(राजमा),केजी,90.0,100.0,95.0
2026-04-26,घिउ सिमी(लोकल),के.जी.,15.0,30.0,22.5
2026-04-26,घिउ सिमी(हाइब्रीड),केजी,25.0,35.0,30.0
